index,question,answer,subject
0,מהי ביופסיה של חלל הפה?,נגעים בחלל הפה הם בעיה רפואית שכיחה. לעיתים קיים קושי לקבוע אבחנה מדויקת ללא בדיקה פתולוגית של הנגע. עקב כך עולה הצורך לעשות ביופסיה - הוצאה של חלק מהנגע או של הנוגע כולו לצורך בדיקה. מדובר בעצם בניתוח זעיר שנעשה בהרדמה מקומית. ההחלמה של פצעי ניתוח בחלל הפה היא לרוב מהירה,ביופסיה של חלל הפה
1,מתי צריך לעשות ביופסיה של חלל הפה?,"נוהגים לעשות ביופסיה כאשר קיים נגע בחלל הפה או בעצמות הלסת - כדי לשלול את האפשרות שמדובר בגידול ממאיר. נוסף על כך, ביופסיה של רירית הפה עוזרת לאבחן מחלות של בלוטות הרוק כמו תסמונת סיוגרן (מחלה אוטואימונית שפוגעת בבלוטות רוק ובבלוטות הדמעות ובאה לידי ביטוי בעיקר בתחושות של יוב",ביופסיה של חלל הפה
2,צריך הכנה מוקדמת?,"לפני בדיקת אולטרסאונד עיניים מטפטף הרופא הבודק טיפת הרדמה מקומית לעין הנבדקת. זו אותה הטיפה שבה משתמשים בבדיקה למדידת הלחץ התוך־עיני. לאחר מכן הוא יטה את המטופל - שיושב על כיסא הטיפולים - לתנוחת חצי ישיבה־חצי שכיבה.מעבר לכך לא דרושה שום הכנה מוקדמת, וגם אין צורך בהרחבת אישונים או בטיפול נוסף לאחר הבדיקה.לתשומת ליבךההנחיות לקראת הבדיקה עשויות להשתנות ממרפאה למרפאה. בעת זימון התור ימסרו לך את ההנחיות הנהוגות במרפאה ",אולטרסאונד עיניים
3,איך עושים את הבדיקה?,"במהלך הבדיקה מצמיד הבודק (הרופא או טכנאי) את קצה המתמר בנקודות שונות לעין של המטופל (ישירות על לובן העין או על העפעף הסגור) וסוקר את התמונה המתקבלת על צג המכשיר. מדי פעם הוא משנה את מנח המתמר בהתאם לתמונה שהוא רוצה לקבל על המסך.יש לציין שעל המתמר מורח הבודק מעט ג'ל. הסיבה: גלי אולטרסאונד אינם עוברים היטב דרך אוויר, ובאמצעות הג'ל מבטיחים מגע רצוף של המתמר עם האיבר הנבדק. הג'ל בא אפוא במגע עם העין, אך הוא לא ",אולטרסאונד עיניים
4,כמה זמן נמשכת הבדיקה?,בדרך כלל,אולטרסאונד עיניים
5,ירדימו אותי?,לא.,אולטרסאונד עיניים
6,זה כואב? איך ארגיש במהלך הבדיקה?,"בדרך כלל הבדיקה לא מכאיבה. לכל היותר תיתכן תחושת אי־נוחות קלה במהלך הבדיקה, שכן הבודק לוחץ לעיתים בעדינות את המתמר על העין כדי להשיג ",אולטרסאונד עיניים
7,איך ארגיש אחרי הבדיקה?,אין כל שינוי בהרגשה או בראייה לאחר הבדיקה. ניתן לחזור לתפקוד ,אולטרסאונד עיניים
8,האם יש לבדיקה תופעות לוואי או סיבוכים?,בדרך כלל גורמת הבדיקה לכל היותר לאי־נוחות ולדימום קל. במקרים נדירים ייתכנו סיבוכים - בעיקר דימום מסיבי יותר או זיהום.כדי למנוע את הסיבוכים האלה יש להקפיד על ההכנות הנדרשות: כמה ימים לפני הבדיקה - בהתאם להוראת הרופא האורולוג - יש להפסיק את נטילתן של תרופות מדללות דם וכן ליטול ,ביופסיה של הערמונית
9,מותר לי לנהוג אחרי הבדיקה?,כן. אין כל מגבלת נה,אולטרסאונד עיניים
10,"מתי ""אחזור לעצמי""?","סיבת ההתעלפות היא שקובעת בדרך כלל את משך ההתאוששות. בהתעלפות על רקע וזו־וגאלי, שהיא השכיחה ביותר, ישנה בדרך כלל התאוששות בתוך שניות מעטות. לכל היותר מדובר באירוע שנמשך דקות ספורות. במקרים אחרים של התעלפות ההתאוששות עלולה להיות",התעלפות
11,מתי אקבל את תוצאות הבדיקה?,"בדרך כלל תינתן התשובה במקום, כיוון שהפענוח נעשה בזמן הבדיקה עצמה.סימני אזהרה לאחר הבדיקה שמחייבים התייחסות רפואיתהבדיקה אינה גורמת לסיכונים שמחייבים ",אולטרסאונד עיניים
12,מהי המשמעות של תוצאות הבדיקה?,"יש מגוון רחב של ממצאים לא תקינים שניתן לגלות בבדיקת אולטרסאונד של העיניים - החל מממצאים חסרי משמעות רפואית וכלה בממצאים שמצביעים על בעיה חמורה. למשל: היפרדות של הרשתית, דימום בחלל העין, גידולים תוך־עיניים, בצקת של עצב הראייה והיפר",אולטרסאונד עיניים
13,אילו טיפולי המשך צפויים לי לאחר הבדיקה?,בהתאם לתוצאות הבדיקה עשוי הרופא להמליץ על הצעדים הבאים:• המשך טיפול ללא שינוי וקביעת מועד לפגישת מעקב.• ביצוע בדיקות נוספות כמו אקו לב.• שינוי בטיפול התרופתי.• צנתור לב אבחוני או צנתור לב טיפולי.• נ,מיפוי לב
16,בדיקות גנטיות: מה מומלץ לך לעשות?,מתכננים להרחיב את המשפחה? רצוי לעשות בדיקות גנטיות כדי לאפשר גילוי מוקדם של מחלות ושל מומים בעובר. מומחית מסבירה מהן הבדיקות המומלצות בהתאם למוצא ההורים,בדיקות אחרות
